Industry,short_names,Year,Unemployment,Vacancy,Hires,Tightness
Financial activities,fin,2014,4474.0,3492.0,2320.0,0.7805096110862763
Financial activities,fin,2015,2965.0,4000.0,2374.0,1.349072512647555
Financial activities,fin,2016,3189.0,4137.0,2408.0,1.297271872060207
Financial activities,fin,2017,2886.0,4537.0,2526.0,1.572072072072072
Financial activities,fin,2018,2583.0,4673.0,2502.0,1.8091366627951995
Financial activities,fin,2019,2591.0,4475.0,2653.0,1.7271323813199537
Financial activities,fin,2020,4653.0,3884.0,2668.0,0.8347302815387921
Financial activities,fin,2021,3476.0,5172.0,2746.0,1.4879171461449943
Financial activities,fin,2022,2400.0,6730.0,2867.0,2.8041666666666667
Financial activities,fin,2023,463.0,927.0,409.0,2.002159827213823
Government,gov,2000,365.0,548.0,342.0,1.5013698630136987
Government,gov,2001,5165.0,5736.0,4109.0,1.1105517909002904
Government,gov,2002,6147.0,5116.0,3978.0,0.8322759069464779
Government,gov,2003,6810.0,4275.0,3662.0,0.6277533039647577
Government,gov,2004,6571.0,4249.0,3856.0,0.6466291279866079
Government,gov,2005,6411.0,4436.0,3960.0,0.6919357354546872
Government,gov,2006,5680.0,5136.0,4265.0,0.9042253521126761
Government,gov,2007,6057.0,5325.0,4376.0,0.8791480931154037
Government,gov,2008,6410.0,4832.0,3641.0,0.7538221528861154
Government,gov,2009,9586.0,3985.0,3356.0,0.4157104110160651
Government,gov,2010,11632.0,4552.0,3938.0,0.391334250343879
Government,gov,2011,12162.0,4121.0,3150.0,0.3388422956750534
Government,gov,2012,11079.0,4625.0,3522.0,0.41745644913800883
Government,gov,2013,10212.0,4815.0,3390.0,0.4715041128084606
Government,gov,2014,8137.0,5399.0,3604.0,0.663512350989308
Government,gov,2015,6878.0,6160.0,4071.0,0.8956091887176505
Government,gov,2016,6984.0,6264.0,4245.0,0.8969072164948454
Government,gov,2017,6332.0,6456.0,4154.0,1.0195830701200252
Government,gov,2018,6059.0,7610.0,4263.0,1.2559828354513947
Government,gov,2019,5947.0,8696.0,4401.0,1.462249873885993
Government,gov,2020,12539.0,8663.0,4161.0,0.690884440545498
Government,gov,2021,6852.0,10919.0,4453.0,1.5935493286631641
Government,gov,2022,5339.0,12544.0,4875.0,2.3495036523693575
Government,gov,2023,803.0,2022.0,801.0,2.5180572851805727
Information,info,2000,151.0,161.0,111.0,1.0662251655629138
Information,info,2001,2277.0,1400.0,1432.0,0.6148440931049627
Information,info,2002,3031.0,1028.0,1074.0,0.3391619927416694
Information,info,2003,2948.0,874.0,1014.0,0.296472184531886
Information,info,2004,2264.0,1050.0,937.0,0.4637809187279152
Information,info,2005,1960.0,1196.0,1044.0,0.610204081632653
Information,info,2006,1510.0,1728.0,1118.0,1.1443708609271523
Information,info,2007,1445.0,1758.0,985.0,1.2166089965397924
Information,info,2008,1998.0,877.0,774.0,0.4389389389389389
Information,info,2009,3531.0,598.0,740.0,0.16935712262815067
Information,info,2010,3635.0,883.0,691.0,0.24291609353507565
Information,info,2011,2664.0,1209.0,748.0,0.45382882882882886
Information,info,2012,2617.0,1113.0,781.0,0.42529614061902943
Information,info,2013,2106.0,1183.0,949.0,0.5617283950617284
Information,info,2014,1842.0,1296.0,1005.0,0.7035830618892508
Information,info,2015,1291.0,1332.0,979.0,1.0317583268783888
Information,info,2016,1481.0,1091.0,981.0,0.736664415935179
Information,info,2017,1444.0,1205.0,1018.0,0.8344875346260388
Information,info,2018,1183.0,1648.0,1089.0,1.393068469991547
Information,info,2019,1065.0,1698.0,1134.0,1.5943661971830987
Information,info,2020,2232.0,1335.0,965.0,0.5981182795698925
Information,info,2021,1644.0,2137.0,1337.0,1.2998783454987834
Information,info,2022,919.0,2730.0,1287.0,2.970620239390642
Information,info,2023,201.0,285.0,184.0,1.4179104477611941
Leisure and hospitality,accom,2000,639.0,566.0,890.0,0.8857589984350548
Leisure and hospitality,accom,2001,9996.0,6439.0,10657.0,0.644157663065226
Leisure and hospitality,accom,2002,11529.0,4584.0,9634.0,0.3976060369502992
Leisure and hospitality,accom,2003,12074.0,4796.0,9839.0,0.39721716084147757
Leisure and hospitality,accom,2004,11662.0,5559.0,10550.0,0.47667638483965014
Leisure and hospitality,accom,2005,11051.0,6517.0,10928.0,0.5897203872952674
Leisure and hospitality,accom,2006,10385.0,7070.0,11187.0,0.6807896003851709
Leisure and hospitality,accom,2007,10752.0,7236.0,11105.0,0.6729910714285714
Leisure and hospitality,accom,2008,13220.0,5671.0,9826.0,0.4289712556732224
Leisure and hospitality,accom,2009,18514.0,3223.0,7812.0,0.1740844766122934
Leisure and hospitality,accom,2010,19100.0,3800.0,7873.0,0.19895287958115182
Leisure and hospitality,accom,2011,18328.0,4691.0,8626.0,0.25594718463553034
Leisure and hospitality,accom,2012,16841.0,5498.0,9196.0,0.32646517427706195
Leisure and hospitality,accom,2013,16549.0,6184.0,9664.0,0.3736781678651278
Leisure and hospitality,accom,2014,14016.0,7823.0,10576.0,0.5581478310502284
Leisure and hospitality,accom,2015,13110.0,8817.0,11664.0,0.6725400457665904
Leisure and hospitality,accom,2016,11387.0,9216.0,12218.0,0.8093439887591113
Leisure and hospitality,accom,2017,10270.0,10028.0,12208.0,0.9764362220058422
Leisure and hospitality,accom,2018,9489.0,11976.0,12753.0,1.2620929497312678
Leisure and hospitality,accom,2019,8953.0,11943.0,13485.0,1.3339662682899587
Leisure and hospitality,accom,2020,30529.0,9201.0,13568.0,0.3013855678207606
Leisure and hospitality,accom,2021,15667.0,17091.0,14350.0,1.0908916831556776
Leisure and hospitality,accom,2022,9228.0,19275.0,14135.0,2.0887516254876464
Leisure and hospitality,accom,2023,1490.0,3089.0,2362.0,2.0731543624161075
"Mining, quarrying, and oil and gas extraction",mining,2000,20.0,8.0,23.0,0.4
"Mining, quarrying, and oil and gas extraction",mining,2001,273.0,152.0,280.0,0.5567765567765568
"Mining, quarrying, and oil and gas extraction",mining,2002,395.0,99.0,229.0,0.25063291139240507
"Mining, quarrying, and oil and gas extraction",mining,2003,443.0,84.0,253.0,0.18961625282167044
"Mining, quarrying, and oil and gas extraction",mining,2004,257.0,110.0,268.0,0.4280155642023346
"Mining, quarrying, and oil and gas extraction",mining,2005,235.0,157.0,287.0,0.6680851063829787
"Mining, quarrying, and oil and gas extraction",mining,2006,266.0,196.0,311.0,0.7368421052631579
"Mining, quarrying, and oil and gas extraction",mining,2007,304.0,171.0,336.0,0.5625
"Mining, quarrying, and oil and gas extraction",mining,2008,304.0,192.0,380.0,0.631578947368421
"Mining, quarrying, and oil and gas extraction",mining,2009,1083.0,90.0,205.0,0.08310249307479224
"Mining, quarrying, and oil and gas extraction",mining,2010,877.0,186.0,288.0,0.2120866590649943
"Mining, quarrying, and oil and gas extraction",mining,2011,624.0,289.0,340.0,0.46314102564102566
"Mining, quarrying, and oil and gas extraction",mining,2012,712.0,223.0,382.0,0.31320224719101125
"Mining, quarrying, and oil and gas extraction",mining,2013,769.0,249.0,361.0,0.3237971391417425
"Mining, quarrying, and oil and gas extraction",mining,2014,629.0,351.0,393.0,0.5580286168521462
"Mining, quarrying, and oil and gas extraction",mining,2015,1008.0,193.0,303.0,0.19146825396825398
"Mining, quarrying, and oil and gas extraction",mining,2016,805.0,162.0,292.0,0.20124223602484473
"Mining, quarrying, and oil and gas extraction",mining,2017,377.0,318.0,374.0,0.843501326259947
"Mining, quarrying, and oil and gas extraction",mining,2018,329.0,354.0,447.0,1.0759878419452888
"Mining, quarrying, and oil and gas extraction",mining,2019,289.0,329.0,301.0,1.1384083044982698
"Mining, quarrying, and oil and gas extraction",mining,2020,1022.0,166.0,196.0,0.162426614481409
"Mining, quarrying, and oil and gas extraction",mining,2021,889.0,324.0,229.0,0.3644544431946007
"Mining, quarrying, and oil and gas extraction",mining,2022,215.0,425.0,279.0,1.9767441860465116
"Mining, quarrying, and oil and gas extraction",mining,2023,19.0,71.0,52.0,3.736842105263158
Nondurable goods manufacturing,nondur,2000,276.0,124.0,233.0,0.4492753623188406
Nondurable goods manufacturing,nondur,2001,4342.0,1466.0,2202.0,0.3376324274527867
Nondurable goods manufacturing,nondur,2002,4992.0,1125.0,1953.0,0.22536057692307693
Nondurable goods manufacturing,nondur,2003,4843.0,982.0,1689.0,0.20276688003303736
Nondurable goods manufacturing,nondur,2004,4502.0,1164.0,1720.0,0.2585517547756553
Nondurable goods manufacturing,nondur,2005,3917.0,1135.0,1677.0,0.2897625733980087
Nondurable goods manufacturing,nondur,2006,3470.0,1371.0,1835.0,0.3951008645533141
Nondurable goods manufacturing,nondur,2007,3239.0,1551.0,1896.0,0.47885149737573324
Nondurable goods manufacturing,nondur,2008,4177.0,1221.0,1525.0,0.2923150586545368
Nondurable goods manufacturing,nondur,2009,7331.0,713.0,1335.0,0.09725821852407585
Nondurable goods manufacturing,nondur,2010,6571.0,765.0,1371.0,0.11642063612844315
Nondurable goods manufacturing,nondur,2011,5823.0,884.0,1301.0,0.15181178086896788
Nondurable goods manufacturing,nondur,2012,5155.0,1167.0,1215.0,0.22638215324927255
Nondurable goods manufacturing,nondur,2013,4891.0,1199.0,1184.0,0.2451441423021877
Nondurable goods manufacturing,nondur,2014,3602.0,1404.0,1295.0,0.3897834536368684
Nondurable goods manufacturing,nondur,2015,3201.0,1529.0,1343.0,0.47766323024054985
Nondurable goods manufacturing,nondur,2016,3060.0,1846.0,1431.0,0.6032679738562091
Nondurable goods manufacturing,nondur,2017,2437.0,2024.0,1752.0,0.8305293393516618
Nondurable goods manufacturing,nondur,2018,2662.0,2120.0,1882.0,0.7963936889556724
Nondurable goods manufacturing,nondur,2019,2331.0,1962.0,1779.0,0.8416988416988417
Nondurable goods manufacturing,nondur,2020,4664.0,2195.0,2075.0,0.47062607204116635
Nondurable goods manufacturing,nondur,2021,3063.0,4254.0,2399.0,1.3888344760039177
Nondurable goods manufacturing,nondur,2022,2113.0,3881.0,2492.0,1.8367250354945575
Nondurable goods manufacturing,nondur,2023,368.0,489.0,401.0,1.328804347826087
Other services,other,2000,167.0,299.0,132.0,1.7904191616766467
Other services,other,2001,2744.0,2387.0,2298.0,0.8698979591836735
Other services,other,2002,3611.0,1725.0,2315.0,0.47770700636942676
Other services,other,2003,4163.0,1569.0,2426.0,0.3768916646649051
Other services,other,2004,3895.0,1774.0,2500.0,0.45545571245186134
Other services,other,2005,3609.0,1896.0,2605.0,0.5253532834580216
Other services,other,2006,3513.0,2027.0,2369.0,0.5769997153430116
Other services,other,2007,2887.0,2140.0,2299.0,0.7412538967786629
Other services,other,2008,3981.0,2068.0,2151.0,0.5194674704848028
Other services,other,2009,5722.0,1453.0,2100.0,0.2539321915414191
Other services,other,2010,6397.0,1644.0,1946.0,0.25699546662498046
Other services,other,2011,6617.0,1438.0,2261.0,0.21731902674928216
Other services,other,2012,5642.0,1633.0,2252.0,0.2894363700815314
Other services,other,2013,5334.0,1806.0,2285.0,0.33858267716535434
Other services,other,2014,4423.0,1830.0,2229.0,0.4137463260230613
Other services,other,2015,4086.0,2186.0,2515.0,0.534997552618698
Other services,other,2016,3514.0,2620.0,2313.0,0.7455890722822994
Other services,other,2017,3015.0,3268.0,2682.0,1.0839137645107795
Other services,other,2018,2754.0,2923.0,2601.0,1.061365286855483
Other services,other,2019,2600.0,2950.0,2604.0,1.1346153846153846
Other services,other,2020,7510.0,2595.0,3038.0,0.3455392809587217
Other services,other,2021,4135.0,4696.0,2759.0,1.1356711003627569
Other services,other,2022,2425.0,4441.0,2707.0,1.831340206185567
Other services,other,2023,403.0,719.0,425.0,1.784119106699752
Professional and business services,profserv,2000,564.0,871.0,966.0,1.5443262411347518
Professional and business services,profserv,2001,9219.0,8932.0,10882.0,0.9688686408504176
Professional and business services,profserv,2002,12107.0,6706.0,10042.0,0.5538944412323449
Professional and business services,profserv,2003,12502.0,7281.0,9644.0,0.5823868181091025
Professional and business services,profserv,2004,10331.0,7968.0,10051.0,0.7712709321459684
Professional and business services,profserv,2005,9509.0,9029.0,11277.0,0.9495215059417395
Professional and business services,profserv,2006,8951.0,10376.0,12067.0,1.1592000893754888
Professional and business services,profserv,2007,8877.0,11124.0,12127.0,1.2531260561000337
Professional and business services,profserv,2008,11059.0,8907.0,10678.0,0.8054073605208427
Professional and business services,profserv,2009,18271.0,5423.0,8400.0,0.29680915111378686
Professional and business services,profserv,2010,18734.0,6802.0,9877.0,0.3630831643002028
Professional and business services,profserv,2011,17162.0,8212.0,11116.0,0.4784990094394593
Professional and business services,profserv,2012,16290.0,9193.0,10955.0,0.5643339472068754
Professional and business services,profserv,2013,15414.0,9175.0,11125.0,0.5952380952380952
Professional and business services,profserv,2014,12999.0,10732.0,12207.0,0.8256019693822602
Professional and business services,profserv,2015,10723.0,13837.0,12939.0,1.2904038049053437
Professional and business services,profserv,2016,10102.0,14222.0,13340.0,1.4078400316768958
Professional and business services,profserv,2017,9297.0,12955.0,13428.0,1.393460255996558
Professional and business services,profserv,2018,8049.0,15078.0,13743.0,1.873276183376817
Professional and business services,profserv,2019,7768.0,15267.0,13788.0,1.9653707518022656
Professional and business services,profserv,2020,14109.0,14191.0,13379.0,1.0058118931178681
Professional and business services,profserv,2021,11108.0,22406.0,15126.0,2.0171047893410154
Professional and business services,profserv,2022,7977.0,25636.0,15121.0,3.2137395010655636
Professional and business services,profserv,2023,1450.0,3924.0,2280.0,2.7062068965517243
Transportation and utilities,trans,2000,168.0,111.0,139.0,0.6607142857142857
Transportation and utilities,trans,2001,2837.0,1533.0,1799.0,0.5403595347197744
Transportation and utilities,trans,2002,3287.0,1123.0,1733.0,0.34164891998783087
Transportation and utilities,trans,2003,3401.0,1140.0,1666.0,0.33519553072625696
Transportation and utilities,trans,2004,2829.0,1051.0,2036.0,0.3715093672675857
Transportation and utilities,trans,2005,2787.0,1398.0,2275.0,0.5016146393972013
Transportation and utilities,trans,2006,2749.0,1560.0,2130.0,0.5674790833030193
Transportation and utilities,trans,2007,2802.0,1808.0,1843.0,0.6452533904354033
Transportation and utilities,trans,2008,3743.0,1354.0,1747.0,0.36174191824739516
Transportation and utilities,trans,2009,6297.0,703.0,1609.0,0.11164046371287915
Transportation and utilities,trans,2010,5903.0,883.0,1626.0,0.14958495680162628
Transportation and utilities,trans,2011,5811.0,1291.0,1674.0,0.22216485974875236
Transportation and utilities,trans,2012,4924.0,1369.0,1929.0,0.2780259951259139
Transportation and utilities,trans,2013,4868.0,1606.0,1913.0,0.3299096138044371
Transportation and utilities,trans,2014,4278.0,2054.0,2216.0,0.4801309022907901
Transportation and utilities,trans,2015,3304.0,2884.0,2320.0,0.8728813559322034
Transportation and utilities,trans,2016,3338.0,2165.0,2413.0,0.6485919712402636
Transportation and utilities,trans,2017,3256.0,2616.0,2498.0,0.8034398034398035
Transportation and utilities,trans,2018,2838.0,3566.0,2872.0,1.2565186751233264
Transportation and utilities,trans,2019,3071.0,3860.0,3082.0,1.2569195701725822
Transportation and utilities,trans,2020,8258.0,3662.0,3773.0,0.4434487769435699
Transportation and utilities,trans,2021,6011.0,6311.0,3806.0,1.049908501081351
Transportation and utilities,trans,2022,4143.0,6169.0,4198.0,1.4890176200820662
Transportation and utilities,trans,2023,722.0,1121.0,689.0,1.5526315789473684
Wholesale and retail trade,trade,2000,715.0,674.0,1136.0,0.9426573426573427
Wholesale and retail trade,trade,2001,11343.0,7107.0,11675.0,0.6265538217402804
Wholesale and retail trade,trade,2002,14422.0,5505.0,10858.0,0.3817085009014006
Wholesale and retail trade,trade,2003,14844.0,5360.0,10395.0,0.36108865534896256
Wholesale and retail trade,trade,2004,14367.0,6527.0,11474.0,0.454305004524257
Wholesale and retail trade,trade,2005,13642.0,7542.0,11857.0,0.5528514880516053
Wholesale and retail trade,trade,2006,12471.0,8072.0,11749.0,0.6472616470210889
Wholesale and retail trade,trade,2007,11706.0,7824.0,11676.0,0.6683751922091236
Wholesale and retail trade,trade,2008,14464.0,6225.0,9995.0,0.4303788716814159
Wholesale and retail trade,trade,2009,22130.0,4256.0,7835.0,0.19231812019882513
Wholesale and retail trade,trade,2010,23550.0,4831.0,8259.0,0.2051380042462845
Wholesale and retail trade,trade,2011,22007.0,6393.0,8617.0,0.29049847775707727
Wholesale and retail trade,trade,2012,19954.0,6751.0,8737.0,0.33832815475593864
Wholesale and retail trade,trade,2013,17560.0,7735.0,9345.0,0.44048974943052394
Wholesale and retail trade,trade,2014,15124.0,9201.0,10591.0,0.6083708013752975
Wholesale and retail trade,trade,2015,13620.0,9509.0,10720.0,0.6981644640234949
Wholesale and retail trade,trade,2016,12107.0,10464.0,10425.0,0.8642933839927315
Wholesale and retail trade,trade,2017,11298.0,11132.0,10141.0,0.9853071340060188
Wholesale and retail trade,trade,2018,10566.0,13738.0,10827.0,1.3002082150293395
Wholesale and retail trade,trade,2019,9635.0,11959.0,10860.0,1.2412039439543332
Wholesale and retail trade,trade,2020,19772.0,10249.0,11683.0,0.5183592959741048
Wholesale and retail trade,trade,2021,14049.0,15133.0,12195.0,1.0771585166204
Wholesale and retail trade,trade,2022,9592.0,15211.0,11474.0,1.5858006672226856
Wholesale and retail trade,trade,2023,2031.0,2344.0,1913.0,1.154111275233875
